[2020-02-10T17:16:20.179+0000][gc,heap      ] GC(7) Humongous regions: 0->0
[2020-02-10T17:16:20.179+0000][gc,metaspace ] GC(7) Metaspace: 8236K->8236K(1056768K)
[2020-02-10T17:16:20.179+0000][gc           ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 41M->6M(512M) 1.699ms
[2020-02-10T17:16:20.179+0000][gc,cpu       ] GC(7) User=0.01s Sys=0.00s Real=0.00s
[2020-02-11T00:10:38.229+0000][gc,start     ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[2020-02-11T00:10:38.229+0000][gc,task      ] GC(8) Using 10 workers of 10 for evacuation
[2020-02-11T00:10:38.231+0000][gc,phases    ] GC(8)   Pre Evacuate Collection Set: 0.0ms
[2020-02-11T00:10:38.231+0000][gc,phases    ] GC(8)   Evacuate Collection Set: 0.7ms
[2020-02-11T00:10:38.231+0000][gc,phases    ] GC(8)   Post Evacuate Collection Set: 0.6ms
[2020-02-11T00:10:38.231+0000][gc,phases    ] GC(8)   Other: 0.3ms
[2020-02-11T00:10:38.231+0000][gc,heap      ] GC(8) Eden regions: 42->0(51)
[2020-02-11T00:10:38.231+0000][gc,heap      ] GC(8) Survivor regions: 1->1(6)
[2020-02-11T00:10:38.231+0000][gc,heap      ] GC(8) Old regions: 6->6
[2020-02-11T00:10:38.231+0000][gc,heap      ] GC(8) Humongous regions: 0->0
[2020-02-11T00:10:38.231+0000][gc,metaspace ] GC(8) Metaspace: 8242K->8242K(1056768K)
[2020-02-11T00:10:38.231+0000][gc           ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 48M->6M(512M) 1.817ms
[2020-02-11T00:10:38.231+0000][gc,cpu       ] GC(8) User=0.00s Sys=0.00s Real=0.00s
[2020-02-11T08:12:37.730+0000][gc,start     ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[2020-02-11T08:12:37.730+0000][gc,task      ] GC(9) Using 10 workers of 10 for evacuation
[2020-02-11T08:12:37.732+0000][gc,phases    ] GC(9)   Pre Evacuate Collection Set: 0.0ms
[2020-02-11T08:12:37.733+0000][gc,phases    ] GC(9)   Evacuate Collection Set: 1.4ms
[2020-02-11T08:12:37.733+0000][gc,phases    ] GC(9)   Post Evacuate Collection Set: 0.6ms
[2020-02-11T08:12:37.733+0000][gc,phases    ] GC(9)   Other: 0.3ms
[2020-02-11T08:12:37.733+0000][gc,heap      ] GC(9) Eden regions: 51->0(63)
[2020-02-11T08:12:37.733+0000][gc,heap      ] GC(9) Survivor regions: 1->1(7)
[2020-02-11T08:12:37.733+0000][gc,heap      ] GC(9) Old regions: 6->6
[2020-02-11T08:12:37.733+0000][gc,heap      ] GC(9) Humongous regions: 0->0
[2020-02-11T08:12:37.733+0000][gc,metaspace ] GC(9) Metaspace: 8262K->8262K(1056768K)
[2020-02-11T08:12:37.733+0000][gc           ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 57M->6M(512M) 2.614ms
[2020-02-11T08:12:37.733+0000][gc,cpu       ] GC(9) User=0.02s Sys=0.00s Real=0.00s
[2020-02-11T11:41:02.572+0000][gc,start     ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[2020-02-11T11:41:02.572+0000][gc,task      ] GC(10) Using 10 workers of 10 for evacuation
[2020-02-11T11:41:02.573+0000][gc,phases    ] GC(10)   Pre Evacuate Collection Set: 0.0ms
[2020-02-11T11:41:02.573+0000][gc,phases    ] GC(10)   Evacuate Collection Set: 0.8ms
[2020-02-11T11:41:02.573+0000][gc,phases    ] GC(10)   Post Evacuate Collection Set: 0.5ms
[2020-02-11T11:41:02.573+0000][gc,phases    ] GC(10)   Other: 0.3ms
[2020-02-11T11:41:02.573+0000][gc,heap      ] GC(10) Eden regions: 63->0(74)
[2020-02-11T11:41:02.574+0000][gc,heap      ] GC(10) Survivor regions: 1->1(8)
